Account,Type,Class,Server,KoreanName,Aliases,Customer,SalesRep,Status,StartDate,Notes
ADA,Client,Knight,,,ADA (Knight)|ADA-Knight|Ada,,,Active,,
Alex,Client,Knight,아툰,,Alex Acc 31 Lv|Alex-Knight,,,Active,,
Beongaebul,Client,,,,,,,Active,,
Captain,Client,Prince,,,Captain - Lord (Prince)|Lord - Prince|Lord Prince,,,Active,,
Dalo,Client,Knight,,,Dal-o|Dal-o-Knight|Dalo-Knight,,,Active,,
Dodam,Client,Elf,,,Dodam-Elf,,,Active,,
Dol,Client,Knight,,,Dol-Knight,,,Active,,
Doma,Client,Knight,,,Doma-Knight,,,Active,,
Duga,Client,Knight,,,Duga - Knight|Duga-Knight,,,Active,,
Elf,Client,Elf,,,Elf-Elf,,,Active,,
Geonbae,Client,Elf,,,Geonbae-Elf,,,Active,,
Goop,Client,Wizard,,,Goop - Wizard,,,Active,,
Heon,Client,Knight,,,Heon-Knight,,,Active,,
Jjuni,Client,Knight,,,Jjuni-Knight,,,Active,,
Jo,Client,Elf,,,Jo-Fairy,,,Active,,
Lammy Queen,Client,Elf,,,Lammy|Lammy Queen - Elf,,,Active,,
Lolly,Client,Elf,,,Lolly Elf,,,Active,,
Mukkbo,Client,Knight,,,Mukkbo-Knight,,,Active,,
Munjin,Client,Knight,,,Munjin-Knight,,,Active,,
Neburegi,Client,Wizard,,,Neburegi-Wizzard Heal,,,Active,,
Olleh,Client,Knight,,,Olleh-Knight|Olleh-knight,,,Active,,
Perez,Client,,아툰,베레스,Perez-Spatoy|Spatoy,,,Active,,
Power20,Client,Knight,아툰,세상과짱뜬다,Power|Power20 33Lv|Power20-Knight,,,Active,,
Real Madrid,Client,Knight,,,Real Madrid-Knight|Realmadrid,,,Active,,
Return,Client,Knight,,,Return-Knight,,,Active,,
Road,Client,,,,Road- Best Players Only|Road- Best Players Only!,,,Active,,
SSEN,Client,,,,Ssen,,,Active,,
Tiger,Client,Knight,,,Tiger-Knight,,,Active,,
Yeoseo,Client,Elf,,,yeoseo-elf,,,Active,,
Zombie,Client,Knight,,,Zombie(warrior)|Zombie-Knight,,,Active,,
Bang,Client,Wizard,,,Bang-Wizard|Bang-Wizzard,,,Inactive,,
Bing,Client,,,,Bing (Linpower40)|Linpower40,,,Inactive,,
Bob,Client,,,,,,,Inactive,,
Catleya,Client,,,,,,,Inactive,,
Cheer Captain,Client,,,,Cheer Captain (Leedy)|Leedy,,,Inactive,,
Eastin,Client,,,,,,,Inactive,,
Gus,Client,,,,CHUN 1|gus (CHUN 1),,,Inactive,,
Hockey,Client,Elf,,,Hockey-Elf,,,Inactive,,
Jangbi,Client,Knight,,,Jangbi-Knight,,,Inactive,,
Jejo,Client,Knight,,,Jejo-Knight,,,Inactive,,
Ji-Hyun,Client,Elf,,,Ji-Hyun-Elf|Jihyun,,,Inactive,,
Kaisel,Client,,,,,,,Inactive,,
League,Client,Knight,,,League-Knight,,,Inactive,,
Linclassicterry,Client,,로엔그린,제육,,,,Inactive,,
Mummy Lotto,Client,Elf,,,Mummy Lotto(elf),,,Inactive,,
Rivaldo,Client,,,,,,,Inactive,,
Sea,Client,Knight,,,Sea-Knight,,,Inactive,,
Summerner,Client,Wizard,,,Summerner(Wizard)|Summoner,,,Inactive,,
Town,Client,Knight,,,Town-Knight,,,Inactive,,
Wong,Client,Elf,로엔그린,웅여,Wong - Elf|Wong-Elf,,,Inactive,,
Kangaroo,Farming,Wizard,,,Kangaroo (Wizard),,,Active,,
Kyoryu,Farming,Elf,아툰,교류,Kyoryu (Elf)|Kyoryu(Elf),,,Active,,
Marcelo,Farming,,,,Marcelo (mania224 Lineage)|mania224,,,Active,,
OldBlood,Farming,Wizard,,,OldBlood (Wizard),,,Active,,
Pele,Farming,,,,Chaerin|Pele(Chaerin),,,Active,,
Ronaldo,Farming,,아툰,,,,,Active,,
Sarim,Farming,,,,,,,Active,,
Sinsang,Farming,Wizard,,,Sinsang(Magician),,,Active,,
Sudden,Farming,Wizard,,,Sudden (Wizard)|Sudden - FIREBAT (Wizard),,,Active,,
Sunsang,Farming,Wizard,,,Sunsang (Wizard),,,Active,,
Taejo,Farming,,,,CHUN 2|taejo (CHUN 2),,,Active,,
Pung Acc,Farming,Elf,로엔그린,풍룡,Pung|Pung Acc (elf),,,Inactive,,
Ronaldinho,Farming,,,,Mania224ss|Ronaldinho (Mania224ss Gmail),,,Inactive,,
