CanonicalName,Class,Server,Block,KoreanName,Aliases,Status
ADA,Knight,,Client,,Ada|ADA (Knight)|ADA-Knight,Active
Alex,Knight,아툰,Client,,Alex Acc 31 Lv|Alex-Knight,Active
Bang,Wizard,,Client,,Bang-Wizard|Bang-Wizzard,Active
Bing,,,Client,,Bing (Linpower40)|Linpower40,Active
Bob,,,Client,,,Active
Captain,Prince,,Client,,Lord - Prince|Captain - Lord (Prince)|Lord Prince,Active
Catleya,,,Client,,,Active
Cheer Captain,,,Client,,Cheer Captain (Leedy)|Leedy,Active
Dalo,Knight,,Client,,Dal-o|Dal-o-Knight|Dalo-Knight,Active
Doma,Knight,,Client,,Doma-Knight,Active
Duga,Knight,,Client,,Duga - Knight|Duga-Knight,Active
Eastin,,,Client,,,Active
Elf,Elf,,Client,,Elf-Elf,Active
Gus,,,Client,,gus (CHUN 1)|CHUN 1,Active
Heon,Knight,,Client,,Heon-Knight,Active
Hockey,Elf,,Client,,Hockey-Elf,Active
Jangbi,Knight,,Client,,Jangbi-Knight,Active
Jejo,Knight,,Client,,Jejo-Knight,Active
Ji-Hyun,Elf,,Client,,Ji-Hyun-Elf|Jihyun,Active
Jjuni,Knight,,Client,,Jjuni-Knight,Active
Kaisel,,,Client,,,Active
Kangaroo,Wizard,,Client,,Kangaroo (Wizard),Active
Kyoryu,Elf,아툰,Client,교류,Kyoryu (Elf)|Kyoryu(Elf),Active
Lammy Queen,Elf,,Client,,Lammy Queen - Elf|Lammy,Active
League,Knight,,Client,,League-Knight,Active
Linclassicterry,,로엔그린,Client,제육,,Active
Lolly,Elf,,Client,,Lolly Elf,Active
Marcelo,,,Farming,,Marcelo (mania224 Lineage)|mania224,Active
Mukkbo,Knight,,Client,,Mukkbo-Knight,Active
Mummy Lotto,Elf,,Client,,Mummy Lotto(elf),Active
Olleh,Knight,,Client,,Olleh-knight|Olleh-Knight,Active
Pele,,,Client,,Pele(Chaerin)|Chaerin,Active
Perez,,아툰,Client,베레스,Perez-Spatoy|Spatoy,Active
Power20,Knight,아툰,Client,세상과짱뜬다,Power|Power20 33Lv|Power20-Knight,Active
Pung Acc,Elf,로엔그린,Farming,풍룡,Pung Acc (elf)|Pung,Active
Real Madrid,Knight,,Client,,Realmadrid|Real Madrid-Knight,Active
Rivaldo,,,Client,,,Active
Road,,,Client,,Road- Best Players Only,Inactive
Ronaldinho,,,Farming,,Ronaldinho (Mania224ss Gmail)|Mania224ss,Active
Ronaldo,,아툰,Farming,,,Active
Sarim,,,Client,,,Active
Sea,Knight,,Client,,Sea-Knight,Active
SSEN,,,Client,,Ssen,Active
Sudden,Wizard,,Client,,Sudden (Wizard),Active
Summerner,Wizard,,Client,,Summoner|Summerner(Wizard),Active
Taejo,,,Client,,taejo (CHUN 2)|CHUN 2,Active
Tiger,Knight,,Client,,Tiger-Knight,Active
Town,Knight,,Client,,Town-Knight,Active
Wong,Elf,로엔그린,Client,웅여,Wong - Elf|Wong-Elf,Active
Yeoseo,Elf,,Client,,yeoseo-elf,Active
Zombie,,,Client,,Zombie-Knight|Zombie(warrior),Active
