Term,Variants,KoreanFull,English,Category,Verified
바람방,바람 방|바람의방,바람방,Windroom,hunting_ground,Y
상아탑,상탑|상아탑 N층,상아탑,Ivory Tower (floor N = N층),hunting_ground,Y
버땅,버림받은땅|버림받은 땅,버림받은 땅,Forsaken Land (버땅),hunting_ground,N
버땅심연,버땅 심연|심연,버림받은 땅 심연,Forsaken Land – Abyss,hunting_ground,N
잊섬,잊혀진섬|잊혀진 섬,잊혀진 섬,Forgotten Island,hunting_ground,N
개미굴,개미|ant,개미굴,Ant Cave (ant),hunting_ground,N
몰이,몰이사냥,몰이 사냥,mob luring / pulling,action,Y
고정,,사냥터 고정,stay fixed at (one hunting ground),action,Y
왓다갓다,왔다갔다|왔다 갔다|번갈아,번갈아 이동,alternate between,action,Y
두타임,두 타임|2타임,2개 시프트,both shifts (2 shifts),schedule,Y
한타임,한 타임|1타임,1개 시프트,one shift,schedule,Y
점검,서버점검,서버 점검,server maintenance,schedule,Y
삭제,취소,시프트 삭제,cancel / remove shift,schedule,Y
추가,,시프트 추가,add extra shift,schedule,Y
경치,경험치|경험,경험치,EXP,stat,Y
카오,카오틱,카오틱 상태,chaotic (PK) status,status,Y
껐습니다,껐어요|종료|나왔어요|미리 나왔어요|접종,접속 종료,logged out (character is free to log in),status,Y
밀어냈어,밀렸어|튕김|튕겼어,접속 끊김,got kicked / disconnected,status,Y
재접,재로그인|다시 로그인,다시 로그인,re-login,action,Y
혈원,혈맹원,혈맹원,clan member,people,Y
육성,육성친구|대리,대리 육성 담당자,booster / leveling trainer,people,Y
군주,프린스,군주,Prince (class),class,Y
데나,데스나이트|드가,데스나이트,Death Knight (class),class,Y
기사,나이트,기사,Knight (class),class,Y
요정,엘프,요정,Elf (class),class,Y
법사,마법사|위자드,마법사,Wizard (class),class,Y
GY,그야|그레이브야드|새벽,24:00-08:00 시프트,graveyard shift (24:00-08:00),schedule,Y
지피방,,(확인 필요),(unknown — verify),unknown,N
말섬,말하는섬|말하는 섬,말하는 섬,Talking Island,hunting_ground,Y
말던,말섬던전|말하는섬 던전,말하는 섬 던전,Talking Island Dungeon,hunting_ground,N
본던,본토던전|본토 던전,본토 던전,Mainland Dungeon,hunting_ground,N
기감,기란감옥|기란 감옥,기란 감옥,Giran Prison,hunting_ground,Y
용계,용의계곡|용의 계곡,용의 계곡,Dragon Valley,hunting_ground,Y
오만,오만의탑|오만의 탑|오탑,오만의 탑,Tower of Insolence,hunting_ground,Y
요숲,요정숲|요정 숲,요정 숲,Elven Forest,hunting_ground,N
화둥,화룡의둥지|화룡의 둥지,화룡의 둥지,Fire Dragon's Nest,hunting_ground,N
글루딘,글말|글루딘 마을,글루딘,Gludin,town,N
기란,기란 마을,기란,Giran,town,Y
아데나,아덴|돈,아데나,Adena (gold),item,Y
템,아이템,아이템,item,item,Y
득템,드랍|드롭,아이템 획득,loot drop,item,Y
물약,빨물|포션,물약,potion,item,Y
렙업,레벨업|업,레벨 업,level up,stat,Y
풀피,,체력 가득,full HP,stat,Y
피케이,PK|막피,플레이어 킬,PK (player kill),status,Y
부캐,부캐릭,부 캐릭터,alt character,people,Y
본캐,본캐릭,주 캐릭터,main character,people,Y
쩔,쩔해주다|쩔받다,파워레벨링,power-leveling (carry),action,N
파티,팟,파티 사냥,party,action,Y
오후,,오후(PM),PM — 오후 8시 = 20:00,schedule,Y
새벽,,새벽(AM),early morning — 새벽 4시 = 04:00 (next day if after a PM start),schedule,Y
자정,밤12시|밤 12시,자정,midnight = 24:00,schedule,Y
